date,open,high,low,close,volume,amount,pct_change,change_amount,amplitude
2025-12-17,5667.5025,5769.0155,5653.5957,5756.2311,114633524239.00002,1786069447.027,,,2.04152907502743
2025-12-18,5723.2411,5771.8534,5721.7547,5733.5503,103215895777.0,1635361068.774,-0.39402170632100164,-22.68080000000009,0.8755827998008994
2025-12-19,5747.6009,5793.8323,5740.6434,5777.5379,115198431770.0,1703532234.973,0.7671965483585286,43.987600000000384,0.9265320329773505
2025-12-22,5801.512,5844.6959,5801.512,5835.5355,115474741080.0,1841224298.562,1.0038462923800173,57.99759999999969,0.7443559541029993
2025-12-23,5837.9381,5863.4465,5812.9771,5831.4676,117542289833.99998,1875240612.381,-0.06970911238566302,-4.067900000000009,0.8682194877389067
2025-12-24,5831.5501,5889.0345,5823.3588,5883.6627,109250418741.00002,1850466308.508,0.8950594186616145,52.19509999999991,1.1277975865062577
2025-12-25,5879.861,5927.7743,5873.9157,5918.5749,110909915076.0,1902149520.882,0.5933752796535963,34.91219999999976,0.9169113543798473
2025-12-26,5919.2821,5962.5467,5901.6746,5938.2943,127262831744.0,2135678751.24,0.33317817774005665,19.71939999999995,1.0314377549721157
2025-12-29,5939.5835,5956.1604,5906.2756,5921.1153,125564222415.00002,2116863283.637,-0.28929182576887813,-17.178999999999178,0.8446067095141957
2025-12-30,5892.1983,5952.7371,5891.7498,5928.9589,121822064210.99998,2113064939.185,0.1324682868445226,7.843599999999242,1.0351305141980178
2025-12-31,5937.8187,5940.0548,5904.6064,5919.1153,118242434641.00002,2018170193.483,-0.16602577562140342,-9.843599999999242,0.6003516170019432
2026-01-05,5955.7571,6035.9837,5955.7571,6035.9837,140392995291.0,2514913903.92,1.97442344128691,116.86839999999938,1.347042846995892
2026-01-06,6040.174,6131.6937,6039.9457,6131.6937,161120893982.0,2780300748.514,1.585657032175214,95.71000000000004,1.5190202786094515
2026-01-07,6140.6072,6167.2647,6111.3707,6142.5656,157331095365.0,2823630709.771,0.17730663878399167,10.871900000000096,0.9145902407785428
2026-01-08,6124.9777,6164.1905,6115.1528,6145.5399,156149797176.0,2768192759.518,0.048421135298903906,2.9742999999998574,0.8019047373599538
2026-01-09,6140.3543,6220.4638,6140.3543,6217.681,171623279469.0,3094137399.199,1.173877335008422,72.14109999999982,1.3046397013279916
2026-01-12,6252.4447,6333.0348,6227.1762,6325.6364,196229130949.0,3577544182.238,1.7362646941842197,107.95540000000074,1.6999454744832894
2026-01-13,6339.156,6339.2315,6231.201,6251.4385,203922006504.0,3632767456.642,-1.1729713076774395,-74.19790000000012,1.7337027003301586
2026-01-14,6255.9757,6371.5529,6213.1812,6270.4068,223795131300.0,3920455200.935,0.30342296417056325,18.968299999999545,2.5489631623812885
2026-01-15,6231.5015,6284.0501,6214.0712,6259.8213,162770232305.0,2882173582.974,-0.16881679829767737,-10.585500000000138,1.1261361150802403
