股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
002594.SZ,比亚迪,9393.44865122,3592.9052502400004,103.03,23.3352,4.2725,深圳,汽车整车
000338.SZ,潍柴动力,2073.55050885,1190.83133924,23.8,18.1838,2.28,山东,汽车配件
601633.SH,长城汽车,1821.9709999000002,1321.9479070900002,21.29,14.355,2.1163,河北,汽车整车
601127.SH,赛力斯,1737.8043217900001,1506.1587157400002,99.76,29.2267,4.336,重庆,汽车整车
600104.SH,上汽集团,1641.5256275699999,1641.5256275699999,14.28,98.5087,0.5555,上海,汽车整车
600660.SH,福耀玻璃,1486.50991583,1140.90101471,56.96,15.9629,3.9581,福建,汽车配件
600418.SH,江淮汽车,1057.20957346,1024.30059198,46.9,0.0,7.8842,安徽,汽车整车
000625.SZ,长安汽车,1029.95281524,858.9530319700001,10.39,14.0678,1.3439,重庆,汽车整车
601689.SH,拓普集团,1012.2892253499999,1012.2892253499999,58.25,33.7362,4.3494,浙江,汽车配件
601238.SH,广汽集团,764.7799425,553.77731963,7.5,92.8602,0.6925,广东,汽车整车
