股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
688981.SH,中芯国际,8175.8879615099995,2043.15301257,102.18,221.0497,5.4191,上海,半导体
688041.SH,海光信息,5030.332496540001,5030.332496540001,216.42,260.5053,23.1941,天津,半导体
688256.SH,寒武纪,4322.272992499999,4288.089796,1025.0,209.8977,36.5175,北京,半导体
002371.SZ,北方华创,3397.43543772,3394.71989902,468.72,60.4398,9.4262,北京,半导体
688795.SH,摩尔线程-U,2578.71580693,161.20058430999998,548.63,0.0,22.5501,北京,半导体
688802.SH,沐曦股份-U,2295.7337899999998,104.07961318,573.79,0.0,17.4269,上海,半导体
603986.SH,兆易创新,2034.5993127999998,1938.08556897,290.2,184.537,8.8209,北京,半导体
688347.SH,华虹公司,2015.65334388,472.99,116.0,529.632,4.5292,上海,半导体
688012.SH,中微公司,1936.66743455,1936.66743455,309.3,119.8673,8.5336,上海,半导体
688008.SH,澜起科技,1770.9678304299998,1661.1720289300001,144.9,125.4423,9.2553,上海,半导体
