股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
601138.SH,工业富联,9988.67247784,9988.67247784,50.3,28.3081,5.9892,深圳,通信设备
300308.SZ,中际旭创,6800.044204080001,6765.662949840001,612.0,131.4911,22.6638,山东,通信设备
300502.SZ,新易盛,4741.9214229,4223.891969210001,477.05,167.0977,32.6475,四川,通信设备
300476.SZ,胜宏科技,2431.99174279,2388.57346587,278.72,56.4007,14.6131,广东,元器件
300394.SZ,天孚通信,2425.5375799199996,2420.65944432,312.0,180.5357,49.7235,江苏,通信设备
601869.SH,长飞光纤,1795.5605982299999,881.2665354000001,216.88,265.6631,12.9647,湖北,通信设备
688008.SH,澜起科技,1770.9678304299998,1661.1720289300001,144.9,125.4423,9.2553,上海,半导体
300033.SZ,同花顺,1732.84608,1009.3781774800001,322.33,54.0656,18.2564,浙江,软件服务
000063.SZ,中兴通讯,1639.31740577,1380.26579621,34.27,29.1811,2.1734,深圳,通信设备
300433.SZ,蓝思科技,1569.36966065,1477.33864788,29.73,43.3061,2.9713,湖南,元器件
