股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
600519.SH,贵州茅台,18193.85827267,18193.85827267,1452.87,21.0997,8.0125,贵州,白酒
000858.SZ,五粮液,3974.7665971199995,3974.5991802900003,102.4,12.4784,3.0001,四川,白酒
603288.SH,海天味业,2214.9157413,2104.6873059,37.85,34.9129,5.8597,广东,食品
600809.SH,山西汾酒,1877.0369519699998,1877.0369519699998,153.86,15.3317,4.8402,山西,白酒
300999.SZ,金龙鱼,1616.17643688,161.76309962,29.81,64.5949,1.676,上海,食品
000568.SZ,泸州老窖,1548.48294508,1547.7617296399999,105.2,11.4932,3.2476,四川,白酒
605499.SH,东鹏饮料,1288.18092783,1186.0976517000001,228.09,38.7224,6.9461,深圳,软饮料
000895.SZ,双汇发展,980.4991232799999,980.37204326,28.3,19.653,4.8477,河南,食品
002304.SZ,洋河股份,758.6457392699999,758.62783629,50.36,11.3682,1.5622,江苏,白酒
000596.SZ,古井贡酒,576.0154200000001,445.25142,108.97,10.4403,2.3103,安徽,白酒
