股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
302132.SZ,中航成飞,1813.81562603,397.82397592,67.88,1615.0255,9.0986,陕西,航空
600760.SH,中航沈飞,1403.0883739600001,1398.67944695,49.49,41.3407,6.5493,山东,航空
600893.SH,航发动力,1317.86979127,1317.63768036,49.44,153.1888,3.312,陕西,航空
688818.SH,电科蓝天,1122.92129489,85.34856316,64.65,332.9911,21.5389,天津,航空
600029.SH,南方航空,1045.5773322799998,777.61868761,5.77,0.0,2.8232,广东,空运
600118.SH,中国卫星,965.50237873,965.50237873,81.65,3458.847,15.2025,北京,航空
002625.SZ,光启技术,877.9945537699999,877.9906825200001,40.75,134.6684,9.201,深圳,航空
600879.SH,航天电子,712.97858608,712.97858608,21.61,130.1007,3.4353,湖北,航空
000768.SZ,中航西飞,709.74924292,708.59616076,25.52,69.3497,3.2551,陕西,航空
600372.SH,中航机载,638.2504655,638.2504655,13.19,61.3274,1.67,北京,航空
