股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
601398.SH,工商银行,26837.3911588,20301.79960419,7.53,7.3354,0.7112,北京,银行
601939.SH,建设银行,24538.11578085,899.88508344,9.38,7.3122,0.7249,北京,银行
601288.SH,农业银行,23658.85308981,21580.90864853,6.76,8.3872,0.8773,北京,银行
601988.SH,中国银行,17753.90389095,11613.17986801,5.51,7.4646,0.6729,北京,银行
601628.SH,中国人寿,11792.034926,8687.576716,41.72,11.0273,1.9047,北京,保险
601318.SH,中国平安,10817.50532781,6368.32288058,59.74,8.5442,1.1161,深圳,保险
600036.SH,招商银行,10024.8886264,8200.005410529999,39.75,6.7557,0.9419,深圳,银行
601328.SH,交通银行,6105.93748981,1801.6055742199999,6.91,6.5244,0.5443,上海,银行
601658.SH,邮储银行,6064.80020135,3389.6809575999996,5.05,7.013,0.6072,北京,银行
601998.SH,中信银行,4434.91943244,3248.8110431699997,7.97,6.4672,0.6127,北京,银行
