股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
600028.SH,中国石化,7352.2712647,5760.950502799999,6.08,14.6131,0.8853,北京,石油加工
600276.SH,恒瑞医药,3659.75201052,3517.38185388,55.14,57.7564,6.1504,江苏,化学制药
603259.SH,药明康德,2712.2352539,2248.2117436099998,90.9,28.7,3.8228,江苏,化学制药
600309.SH,万华化学,2410.46315202,2410.46315202,77.0,18.495,2.2256,山东,化工原料
600989.SH,宝丰能源,2337.1418320000002,2337.1418320000002,31.87,20.591,4.8298,宁夏,化工原料
600346.SH,恒力石化,1497.92043446,1497.92043446,21.28,21.2665,2.3178,辽宁,石油加工
002493.SZ,荣盛石化,1129.80591893,1058.8646508,11.31,155.9461,2.5857,浙江,化纤
688506.SH,百利天恒,1120.86983839,1088.6348,271.48,30.2325,16.9214,四川,化学制药
002001.SZ,新和成,1054.1836362400002,1041.6436413000001,34.3,17.9633,3.3369,浙江,化学制药
002353.SZ,杰瑞股份,1003.2763307600001,679.30968781,97.99,38.1904,4.5299,山东,化工机械
