股票代码,股票名称,总市值(亿元),流通市值(亿元),收盘价,市盈率PE,市净率PB,地区,行业
600276.SH,恒瑞医药,3659.75201052,3517.38185388,55.14,57.7564,6.1504,江苏,化学制药
688235.SH,百济神州-U,3508.48582521,261.83125518,227.57,0.0,11.4653,北京,生物制药
603259.SH,药明康德,2712.2352539,2248.2117436099998,90.9,28.7,3.8228,江苏,化学制药
300760.SZ,迈瑞医疗,2055.33065111,2055.27000533,169.52,17.6144,5.4575,深圳,医疗保健
688506.SH,百利天恒,1120.86983839,1088.6348,271.48,30.2325,16.9214,四川,化学制药
002001.SZ,新和成,1054.1836362400002,1041.6436413000001,34.3,17.9633,3.3369,浙江,化学制药
688271.SH,联影医疗,939.2104431199999,939.2104431199999,113.96,74.4301,4.3502,上海,医疗保健
300015.SZ,爱尔眼科,930.67458767,793.94472072,9.98,26.1715,4.2908,湖南,医疗保健
600196.SH,复星医药,663.8687302,526.6563219,24.86,23.9674,1.3822,上海,化学制药
688331.SH,荣昌生物,658.91456591,190.37858964,116.73,0.0,27.9814,山东,生物制药
