date,open,high,low,close,volume,amount,pct_change,change_amount,amplitude
2026-01-29,6330.6,6352.77,6300.78,6319.77,1872711355,3200788987037.0,,,0.8251359355508475
2026-01-30,6272.92,6302.48,6153.36,6259.18,1678482287,2805772801110.0,-0.9587374224061973,-60.590000000000146,2.4233914479243843
2026-02-02,6205.84,6244.23,6086.53,6088.28,1516257931,2557556890573.0,-2.7303896037500164,-170.90000000000055,2.5909672670634962
2026-02-03,6149.25,6218.25,6093.59,6217.13,1395121896,2513434908061.0,2.1163612711636137,128.85000000000036,2.04575627831869
2026-02-04,6202.45,6250.08,6174.08,6245.44,1465472640,2459290850290.0,0.45535480197453904,28.30999999999949,1.2309526277599254
2026-02-05,6190.56,6214.73,6143.44,6176.13,1297917525,2152491252633.0,-1.1097696879643348,-69.30999999999949,1.160424778300105
2026-02-06,6115.08,6218.09,6092.7,6161.61,1263385587,2124059927039.0,-0.2350986782985509,-14.520000000000437,2.058036666830803
2026-02-09,6241.44,6279.76,6225.5,6279.14,1278459467,2230339157850.0,1.9074560058166767,117.53000000000065,0.8715765801943655
2026-02-10,6282.4,6296.57,6259.53,6283.26,1231659007,2078908681142.0,0.06561408090917098,4.119999999999891,0.5917377183270943
2026-02-11,6273.74,6298.35,6272.21,6272.72,1154950566,1959347522870.0,-0.16774731588379277,-10.539999999999964,0.4167590051991296
2026-02-12,6281.02,6309.49,6267.16,6299.9,1201609826,2117231856603.0,0.4333048502085157,27.17999999999938,0.6754255516055108
2026-02-13,6267.77,6297.89,6223.87,6227.54,1117860733,1961641189740.0,-1.1485896601533319,-72.35999999999967,1.1892921927996638
2026-02-24,6309.56,6323.16,6263.65,6295.28,1257437807,2178025933586.0,1.0877489345712643,67.73999999999978,0.9500850143287096
2026-02-25,6306.21,6377.67,6303.44,6360.54,1493520260,2434384082997.0,1.036649680395474,65.26000000000022,1.1776109552879137
2026-02-26,6370.05,6381.98,6339.76,6373.71,1417538778,2508934896690.0,0.2070578913111243,13.170000000000073,0.6659558090526982
2026-02-27,6334.8,6400.41,6333.83,6398.46,1436056154,2458787824144.0,0.38831387057145506,24.75,1.0511807231959167
2026-03-02,6340.93,6395.35,6304.96,6375.69,1767146241,2988901871775.0,-0.3558668804681142,-22.770000000000437,1.4336332030655283
2026-03-03,6385.54,6392.59,6180.72,6188.09,1863856045,3100307177898.0,-2.9424266236281804,-187.59999999999945,3.4279177830414556
2026-03-04,6114.2,6211.88,6111.12,6143.19,1484166290,2344890009572.0,-0.7255873783348465,-44.900000000000546,1.6487976017489465
2026-03-05,6229.56,6245.03,6178.01,6208.81,1427680367,2365130872050.0,1.0681746779767742,65.6200000000008,1.0848153369774332
2026-03-06,6176.09,6261.73,6174.6,6252.38,1351292540,2174380931651.0,0.7017447787901254,43.56999999999971,1.4111035532665954
2026-03-09,6165.2,6215.62,6075.09,6199.43,1608089447,2619883004470.0,-0.8468775090445524,-52.94999999999982,2.3132167589286703
2026-03-10,6244.88,6297.46,6244.88,6296.2,1388522190,2369903404402.0,1.5609499583026043,96.76999999999953,0.8419697416123276
2026-03-11,6303.95,6329.18,6292.77,6313.02,1455189079,2478243273978.0,0.26714526222166857,16.82000000000062,0.5786005209152703
2026-03-12,6307.72,6318.73,6234.78,6279.68,1529419300,2410625365349.0,-0.5281149117221218,-33.340000000000146,1.3464789455281474
2026-03-13,6252.94,6296.54,6206.81,6220.66,1541231108,2369663324676.0,-0.9398568079902248,-59.02000000000044,1.445670159067211
2026-03-16,6217.61,6223.51,6139.72,6217.07,1461897840,2296546777250.0,-0.05771091813409068,-3.5900000000001455,1.3647202152541151
2026-03-17,6230.68,6247.32,6120.17,6120.17,1403917973,2172271421492.0,-1.5586120149845395,-96.89999999999964,2.077556669177484
2026-03-18,6137.96,6174.02,6081.43,6169.42,1264157071,2008726055990.0,0.8047162088634874,49.25,1.5225037532290948
2026-03-19,6097.06,6113.69,6018.32,6039.18,1321645760,2080305920783.0,-2.1110574413802263,-130.23999999999978,1.5846615002193285
2026-03-20,6064.62,6089.15,5963.47,5965.89,1370734340,2253738645837.0,-1.213575352945262,-73.28999999999996,2.107497815868938
2026-03-23,5863.88,5905.92,5692.47,5723.41,1622825828,2397339386553.0,-4.0644396728736325,-242.48000000000047,3.7496903804499597
