date,open,high,low,close,volume,amount,pct_change,change_amount,amplitude
2026-03-24,5802.47,5843.73,5696.41,5843.73,1380131513,2049422012151.0,2.102243243101576,120.31999999999971,2.5861902496484577
2026-03-25,5883.92,5956.61,5883.92,5948.6,1382428512,2144649288151.0,1.794572986773879,104.8700000000008,1.2354008892031094
2026-03-26,5936.31,5959.14,5846.92,5861.89,1258548686,1913999570249.0,-1.4576539017583934,-86.71000000000004,1.9193011021187267
2026-03-27,5790.59,5946.77,5789.53,5922.21,1162199823,1825325513194.0,1.0290196506587357,60.31999999999971,2.7159372177016214
2026-03-30,5863.12,5927.86,5837.15,5925.21,1221686111,1886988318008.0,0.050656764957679457,3.0,1.5540118037055761
2026-03-31,5918.29,5958.25,5842.34,5842.34,1238264867,1957289873827.0,-1.398600218388879,-82.86999999999989,1.9839653289606536
2026-04-01,5941.58,5957.21,5903.47,5946.58,1189149204,1977335950909.0,1.784216598143895,104.23999999999978,0.9103120706973996
2026-04-02,5928.52,5940.34,5830.85,5860.44,1155096726,1816481199270.0,-1.4485637122514161,-86.14000000000033,1.8777708224358332
2026-04-03,5880.23,5883.39,5784.41,5791.49,1055425552,1631342915576.0,-1.1765328200612934,-68.94999999999982,1.7111511805006987
2026-04-07,5802.84,5844.57,5789.81,5822.75,993221648,1590961669835.0,0.539757471738711,31.26000000000022,0.9457996030957718
2026-04-08,5933.53,6059.75,5933.18,6059.75,1365846864,2400179281500.0,4.070241724271173,237.0,2.1332573763142144
2026-04-09,6010.24,6043.82,5998.63,6020.05,1170953634,2105193328499.0,-0.655142538883613,-39.69999999999982,0.7533386789983646
2026-04-10,6060.57,6127.27,6056.94,6090.06,1189935660,2290352271892.0,1.1629471516017453,70.01000000000022,1.1611473780489958
2026-04-13,6057.94,6112.27,6057.94,6103.84,1140279661,2112297426242.0,0.22627034873219376,13.779999999999745,0.896839519704732
2026-04-14,6146.42,6181.43,6116.9,6181.43,1220367221,2342024419403.0,1.2711670030669309,77.59000000000015,1.0549461328450793
2026-04-15,6213.95,6215.43,6137.44,6153.96,1234658036,2369484897330.0,-0.4443955524854326,-27.470000000000255,1.2707252535259113
2026-04-16,6165.48,6243.18,6158.29,6239.49,1201044399,2291469845960.0,1.3898367880194273,85.52999999999975,1.378467074463858
2026-04-17,6227.7,6266.9,6217.64,6254.11,1218877349,2385938057088.0,0.2343140224601692,14.61999999999989,0.7922620158130627
2026-04-20,6254.85,6305.72,6250.48,6300.21,1289356790,2543454348181.0,0.7371152729964914,46.100000000000364,0.8837721263007112
2026-04-21,6285.13,6303.15,6240.67,6297.91,1248207694,2354743827351.0,-0.036506719617290795,-2.300000000000182,1.0011745533732685
2026-04-22,6271.82,6358.21,6271.82,6357.1,1254416818,2515865444405.0,0.9398355962533689,59.19000000000051,1.3774311125000451
2026-04-23,6368.92,6373.87,6263.86,6303.1,1403679980,2758057743058.0,-0.8494439288354805,-54.0,1.7562653060572908
2026-04-24,6275.39,6302.19,6229.6,6271.17,1286802985,2585119796088.0,-0.5065761292062709,-31.93000000000029,1.1652433543084504
2026-04-27,6269.84,6311.25,6248.68,6296.45,1269833095,2535347850703.0,0.40311457032737863,25.279999999999745,1.0013314812088265
2026-04-28,6275.96,6286.64,6224.21,6246.71,1293721085,2483080253081.0,-0.7899689507579688,-49.73999999999978,1.0030188570115772
2026-04-29,6212.28,6337.98,6212.03,6328.36,1324764554,2540417490721.0,1.3070880511501182,81.64999999999964,2.027517574770241
2026-04-30,6335.2,6355.88,6320.11,6342.26,1363772243,2682609066409.0,0.21964616425109718,13.900000000000546,0.565971161894341
2026-05-06,6404.75,6485.9,6400.53,6465.6,1495257072,3157892578791.0,1.9447326347390437,123.34000000000015,1.333795795035722
2026-05-07,6489.86,6534.08,6470.99,6533.33,1499395479,3079838640128.0,1.0475439247710883,67.72999999999956,0.9749667361562936
2026-05-08,6495.25,6540.53,6487.61,6532.34,1490201894,2977283117309.0,-0.01515306895564228,-0.9899999999997817,0.8157087124534316
